City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
268,Garavuti,TJ,2023-01-22 17:26:15,37.5672,68.4469,32.65,81,100,0.16
269,Pitkyaranta,RU,2023-01-22 17:26:15,61.5734,31.4792,14.79,98,97,3.51
270,Mehamn,NO,2023-01-22 17:27:15,71.0357,27.8492,39.15,75,0,17.27
271,Turbat,PK,2023-01-22 17:27:16,26.0023,63.044,56.71,19,0,20.13
272,San Jose,US,2023-01-22 17:27:05,37.3394,-121.895,52.41,84,40,5.99
273,Almaznyy,RU,2023-01-22 17:27:16,48.0448,40.045,30.18,71,97,14.9
274,Caldwell,US,2023-01-22 17:27:17,43.6629,-116.6874,28.27,90,100,9.22
275,Preobrazheniye,RU,2023-01-22 17:22:28,42.9019,133.9064,15.64,74,97,7.81
276,Linhares,BR,2023-01-22 17:25:11,-19.3911,-40.0722,88.66,58,97,8.05
277,Maldonado,UY,2023-01-22 17:27:17,-34.6667,-54.9167,83.59,30,0,16.46
278,Kafue,ZM,2023-01-22 17:27:17,-15.7691,28.1814,65.17,98,100,3.15
279,Richards Bay,ZA,2023-01-22 17:27:18,-28.783,32.0377,78.84,74,4,11.43
280,Terrace,CA,2023-01-22 17:27:18,54.5163,-128.6035,33.71,93,100,5.75
281,Bahia Honda,CU,2023-01-22 17:27:19,22.9036,-83.1592,82.9,50,7,13.22
282,Oum Hadjer,TD,2023-01-22 17:27:19,13.2954,19.6966,85.51,13,3,8.41
283,Bilma,NE,2023-01-22 17:27:19,18.6853,12.9164,73.89,11,1,5.12
284,Kodinsk,RU,2023-01-22 17:27:20,58.6881,99.1844,-40.32,100,60,4.18
285,Tromso,NO,2023-01-22 17:27:20,69.6496,18.957,44.62,53,0,24.16
286,Kloulklubed,PW,2023-01-22 17:27:21,7.0419,134.2556,73.9,84,100,20.47
287,Matamoros,MX,2023-01-22 17:27:21,25.5333,-103.25,53.71,26,0,8.05
288,Asmara,ER,2023-01-22 17:27:21,15.3333,38.9333,58.23,61,11,4.0
289,Basco,PH,2023-01-22 17:27:22,20.4487,121.9702,76.89,77,91,18.68
290,Luderitz,NA,2023-01-22 17:27:22,-26.6481,15.1594,71.47,68,0,26.22
291,Balykshi,KZ,2023-01-22 17:27:22,47.0667,51.8667,30.2,43,0,15.66
292,Mizdah,LY,2023-01-22 17:27:23,31.4451,12.9801,54.01,47,15,11.07
